ts,trip_1,rating_1,trip_2,rating_2,trip_3,rating_3,trip_4,rating_4,trip_5,rating_5
2015-03-20 00:00,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.4579,,,,,,,,
2015-03-20 02:00,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.4585,,,,,,,,
2015-03-20 04:00,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.4689,,,,,,,,
2015-03-20 06:00,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.4449,,,,,,,,
2015-03-20 08:00,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.4801,,,,,,,,
2015-03-20 10:00,0xc35c9_12-03-15 7:xx - 23-03-15 0:42,221.6,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.4780,,,,,,
2015-03-20 12:00,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.4783,,,,,,,,
2015-03-20 14:00,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.4782,,,,,,,,
2015-03-20 16:00,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.4382,,,,,,,,
2015-03-20 18:00,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.3504,0x6d679_20-03-15 18:xx - 21-03-15 4:15_parking,0.1212,,,,,,
2015-03-20 20:00,0x6d679_20-03-15 18:xx - 21-03-15 4:15_parking,0.1827,,,,,,,,
2015-03-20 22:00,0xc35c9_12-03-15 7:xx - 23-03-15 0:42,200.3,0x6d679_20-03-15 18:xx - 21-03-15 4:15_parking,0.2159,,,,,,
2015-03-21 00:00,0x6d679_20-03-15 18:xx - 21-03-15 4:15_parking,0.2411,,,,,,,,
2015-03-21 02:00,0x6d679_20-03-15 18:xx - 21-03-15 4:15_parking,0.2535,,,,,,,,
2015-03-21 04:00,0x6d679_20-03-15 18:xx - 21-03-15 4:15_parking,0.2483,0x6d679_21-03-15 4:xx - 22-03-15 23:16,0.04681,,,,,,
2015-03-21 06:00,0x6d679_21-03-15 4:xx - 22-03-15 23:16,0.2249,,,,,,,,
2015-03-21 08:00,0x6d679_21-03-15 4:xx - 22-03-15 23:16,0.2559,,,,,,,,
2015-03-21 10:00,0xf0454_21-03-15 11:xx - 21-03-15 13:23,7.376,0xf0454_21-03-15 11:xx - 21-03-15 11:26,5.884,0x6d679_21-03-15 4:xx - 22-03-15 23:16,0.1555,,,,
2015-03-21 12:00,0xf0454_21-03-15 11:xx - 21-03-15 13:23,22.11,0x6d679_21-03-15 4:xx - 22-03-15 23:16,0.03275,0xf0454_21-03-15 13:xx - 22-03-15 11:48_parking,0.01484,,,,
2015-03-21 14:00,0xf0454_21-03-15 13:xx - 22-03-15 11:48_parking,0.07618,0x6d679_21-03-15 4:xx - 22-03-15 23:16,0.06465,,,,,,
2015-03-21 16:00,0xf0454_21-03-15 13:xx - 22-03-15 11:48_parking,0.07756,0x6d679_21-03-15 4:xx - 22-03-15 23:16,0.06509,,,,,,
2015-03-21 18:00,0xc35c9_12-03-15 7:xx - 23-03-15 0:42,191.7,0x6d679_21-03-15 4:xx - 22-03-15 23:16,0.2547,0xf0454_21-03-15 13:xx - 22-03-15 11:48_parking,0.1258,,,,
2015-03-21 20:00,0x6d679_21-03-15 4:xx - 22-03-15 23:16,0.2633,0xf0454_21-03-15 13:xx - 22-03-15 11:48_parking,0.1124,,,,,,
2015-03-21 22:00,0xc35c9_12-03-15 7:xx - 23-03-15 0:42,192.7,0x6d679_21-03-15 4:xx - 22-03-15 23:16,0.1699,0xf0454_21-03-15 13:xx - 22-03-15 11:48_parking,0.1421,,,,
2015-03-22 00:00,0xf0454_21-03-15 13:xx - 22-03-15 11:48_parking,0.1586,0x6d679_21-03-15 4:xx - 22-03-15 23:16,0.03280,,,,,,
2015-03-22 02:00,0xf0454_21-03-15 13:xx - 22-03-15 11:48_parking,0.05984,0x6d679_21-03-15 4:xx - 22-03-15 23:16,0.007793,,,,,,
2015-03-22 04:00,0xf0454_21-03-15 13:xx - 22-03-15 11:48_parking,0.2160,0x7086e_18-03-15 10:xx - 22-03-15 6:31_parking,0.01410,0x6d679_21-03-15 4:xx - 22-03-15 23:16,0.01339,,,,
2015-03-22 06:00,0xc35c9_12-03-15 7:xx - 23-03-15 0:42,189.5,0x7086e_22-03-15 6:xx - 24-03-15 0:23,15.74,0xf0454_21-03-15 13:xx - 22-03-15 11:48_parking,0.2041,0x6d679_21-03-15 4:xx - 22-03-15 23:16,0.1834,0x7086e_18-03-15 10:xx - 22-03-15 6:31_parking,0.005853
2015-03-22 08:00,0xc35c9_12-03-15 7:xx - 23-03-15 0:42,195.7,0x7086e_22-03-15 6:xx - 24-03-15 0:23,45.04,0x6d679_21-03-15 4:xx - 22-03-15 23:16,0.2596,0xf0454_21-03-15 13:xx - 22-03-15 11:48_parking,0.08393,,
2015-03-22 10:00,0x7086e_22-03-15 6:xx - 24-03-15 0:23,71.77,0xf0454_21-03-15 13:xx - 22-03-15 11:48_parking,0.1115,0x6d679_21-03-15 4:xx - 22-03-15 23:16,0.03100,,,,
2015-03-22 10:00,0x7086e_22-03-15 6:xx - 24-03-15 0:23,71.77,0xf0454_21-03-15 13:xx - 22-03-15 11:48_parking,0.1115,0x6d679_21-03-15 4:xx - 22-03-15 23:16,0.03100,,,,
2015-03-22 12:00,0x7086e_22-03-15 6:xx - 24-03-15 0:23,83.85,0xf0454_22-03-15 12:xx - 22-03-15 12:55,4.069,0xf0454_22-03-15 12:xx - 03-05-15 6:52_parking,0.02886,0x6d679_21-03-15 4:xx - 22-03-15 23:16,0.02115,,
2015-03-22 14:00,0x7086e_22-03-15 6:xx - 24-03-15 0:23,86.95,0x6d679_21-03-15 4:xx - 22-03-15 23:16,0.03045,0xf0454_22-03-15 12:xx - 03-05-15 6:52_parking,0.02423,,,,
2015-03-22 16:00,0x6d679_21-03-15 4:xx - 22-03-15 23:16,0.01019,,,,,,,,
2015-03-22 18:00,0xc35c9_12-03-15 7:xx - 23-03-15 0:42,85.66,0x6d679_21-03-15 4:xx - 22-03-15 23:16,0.2302,,,,,,
2015-03-22 20:00,0x6d679_21-03-15 4:xx - 22-03-15 23:16,0.2066,,,,,,,,
2015-03-22 22:00,0xc35c9_12-03-15 7:xx - 23-03-15 0:42,9.109,0x6d679_22-03-15 23:xx - 23-03-15 11:08_parking,0.07193,0x6d679_21-03-15 4:xx - 22-03-15 23:16,0.02232,,,,
2015-03-23 00:00,0xc35c9_12-03-15 7:xx - 23-03-15 0:42,0.8038,0xc35c9_23-03-15 0:xx - 06-04-15 8:01,0.1520,0x6d679_22-03-15 23:xx - 23-03-15 11:08_parking,0.02715,,,,
2015-03-23 02:00,0x6d679_22-03-15 23:xx - 23-03-15 11:08_parking,0.02455,,,,,,,,
2015-03-23 04:00,0x6d679_22-03-15 23:xx - 23-03-15 11:08_parking,0.02635,,,,,,,,
2015-03-23 06:00,0x6d679_22-03-15 23:xx - 23-03-15 11:08_parking,0.07819,,,,,,,,
2015-03-23 08:00,0x6d679_22-03-15 23:xx - 23-03-15 11:08_parking,0.2661,,,,,,,,
2015-03-23 10:00,0x6d679_22-03-15 23:xx - 23-03-15 11:08_parking,0.1747,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.09806,,,,,,
2015-03-23 12:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.08571,,,,,,,,
2015-03-23 14:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1287,,,,,,,,
2015-03-23 16:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1548,,,,,,,,
2015-03-23 18:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.09715,,,,,,,,
2015-03-23 20:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.09255,,,,,,,,
2015-03-23 22:00,0x7086e_22-03-15 6:xx - 24-03-15 0:23,6.846,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1398,,,,,,
2015-03-24 00:00,0x7086e_24-03-15 0:xx - 24-03-15 0:36,2.018,0x7086e_22-03-15 6:xx - 24-03-15 0:23,1.890,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1717,0x7086e_24-03-15 0:xx - 07-04-15 2:35_parking,0.01128,,
2015-03-24 02:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1724,,,,,,,,
2015-03-24 04:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1642,,,,,,,,
2015-03-24 06:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1369,,,,,,,,
2015-03-24 08:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.07129,,,,,,,,
2015-03-24 10:00,0xc35c9_23-03-15 0:xx - 06-04-15 8:01,0.4594,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1136,,,,,,
2015-03-24 12:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.07371,,,,,,,,
2015-03-24 14:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1318,,,,,,,,
2015-03-24 16:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1242,,,,,,,,
2015-03-24 18:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1321,,,,,,,,
2015-03-24 20:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.09186,,,,,,,,
2015-03-24 22:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1283,,,,,,,,
2015-03-25 00:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1087,,,,,,,,
2015-03-25 02:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1086,,,,,,,,
2015-03-25 04:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1467,,,,,,,,
2015-03-25 06:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1292,,,,,,,,
2015-03-25 08:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.09775,,,,,,,,
2015-03-25 10:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1062,,,,,,,,
2015-03-25 12:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1287,,,,,,,,
2015-03-25 14:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1415,,,,,,,,
2015-03-25 16:00,0xc35c9_23-03-15 0:xx - 06-04-15 8:01,1.068,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1673,,,,,,
2015-03-25 18:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1519,,,,,,,,
2015-03-25 20:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1124,,,,,,,,
2015-03-25 22:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.08984,,,,,,,,
2015-03-26 00:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1203,,,,,,,,
2015-03-26 02:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1171,,,,,,,,
2015-03-26 04:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1129,,,,,,,,
2015-03-26 06:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1275,,,,,,,,
2015-03-26 08:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1222,,,,,,,,
2015-03-26 10:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1564,,,,,,,,
2015-03-26 12:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1309,,,,,,,,
2015-03-26 14:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1258,,,,,,,,
2015-03-26 16:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1364,,,,,,,,
2015-03-26 18:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1447,,,,,,,,
2015-03-26 20:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1137,,,,,,,,
2015-03-26 22:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.09693,,,,,,,,
2015-03-27 00:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1330,,,,,,,,
2015-03-27 02:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1118,,,,,,,,
2015-03-27 04:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1464,,,,,,,,
2015-03-27 06:00,0xe4728_27-03-15 7:xx - 27-03-15 8:36,7.929,0x53db5_27-03-15 7:xx - 27-03-15 8:49,6.186,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1315,,,,
2015-03-27 08:00,0xe4728_27-03-15 7:xx - 27-03-15 8:36,8.702,0x53db5_27-03-15 7:xx - 27-03-15 8:49,8.487,0x3f925_27-03-15 9:xx - 27-03-15 10:46,4.021,0xe4728_27-03-15 8:xx - 27-03-15 8:51,1.054,0x53db5_27-03-15 8:xx - 28-03-15 9:23,0.4808
2015-03-27 10:00,0x3f925_27-03-15 9:xx - 27-03-15 10:46,8.838,0x3f925_27-03-15 10:xx - 06-04-15 5:02,1.118,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1643,,,,
2015-03-27 12:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1387,,,,,,,,
2015-03-27 14:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1579,,,,,,,,
2015-03-27 16:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1580,,,,,,,,
2015-03-27 18:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1653,,,,,,,,
2015-03-27 20:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1598,,,,,,,,
2015-03-27 22:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1356,,,,,,,,
2015-03-28 00:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1503,,,,,,,,
2015-03-28 02:00,0x6d679_23-03-15 11:xx - 28-03-15 3:32,0.1572,0x6d679_28-03-15 3:xx - 28-03-15 12:41_parking,0.02365,,,,,,
2015-03-28 04:00,0x6d679_28-03-15 3:xx - 28-03-15 12:41_parking,0.02979,,,,,,,,
2015-03-28 06:00,0x6d679_28-03-15 3:xx - 28-03-15 12:41_parking,0.06313,,,,,,,,
2015-03-28 08:00,0x53db5_27-03-15 8:xx - 28-03-15 9:23,0.6942,0x6d679_28-03-15 3:xx - 28-03-15 12:41_parking,0.05883,,,,,,
2015-03-28 10:00,0x6d679_28-03-15 3:xx - 28-03-15 12:41_parking,0.04487,0x53db5_28-03-15 10:xx - 03-04-15 8:07_parking,0.0009017,,,,,,
2015-03-28 12:00,0x6d679_28-03-15 3:xx - 28-03-15 12:41_parking,0.06664,0x6d679_28-03-15 12:xx - 31-03-15 18:01,0.01742,0x53db5_28-03-15 10:xx - 03-04-15 8:07_parking,0.007207,,,,
2015-03-28 14:00,0xc35c9_23-03-15 0:xx - 06-04-15 8:01,0.9621,0x6d679_28-03-15 12:xx - 31-03-15 18:01,0.02496,,,,,,
2015-03-28 16:00,0x6d679_28-03-15 12:xx - 31-03-15 18:01,0.007826,,,,,,,,
2015-03-28 18:00,0x6d679_28-03-15 12:xx - 31-03-15 18:01,0.003398,,,,,,,,
2015-03-28 20:00,0x6d679_28-03-15 12:xx - 31-03-15 18:01,0.01537,,,,,,,,
2015-03-28 22:00,0x6d679_28-03-15 12:xx - 31-03-15 18:01,0.004543,,,,,,,,
2015-03-29 00:00,0x6d679_28-03-15 12:xx - 31-03-15 18:01,0.01677,,,,,,,,
2015-03-29 02:00,0x6d679_28-03-15 12:xx - 31-03-15 18:01,0.008342,,,,,,,,
2015-03-29 04:00,0x6d679_28-03-15 12:xx - 31-03-15 18:01,0.03870,,,,,,,,
2015-03-29 06:00,0x6d679_28-03-15 12:xx - 31-03-15 18:01,0.06239,,,,,,,,
2015-03-29 08:00,0x6d679_28-03-15 12:xx - 31-03-15 18:01,0.04241,,,,,,,,
2015-03-29 10:00,0x6d679_28-03-15 12:xx - 31-03-15 18:01,0.05593,,,,,,,,
2015-03-29 12:00,0x6d679_28-03-15 12:xx - 31-03-15 18:01,0.04259,,,,,,,,
2015-03-29 14:00,0x6d679_28-03-15 12:xx - 31-03-15 18:01,0.01050,,,,,,,,
2015-03-29 16:00,0x6d679_28-03-15 12:xx - 31-03-15 18:01,0.01587,0x53db5_28-03-15 10:xx - 03-04-15 8:07_parking,0.002121,,,,,,
2015-03-29 18:00,0x6d679_28-03-15 12:xx - 31-03-15 18:01,0.04376,,,,,,,,
2015-03-29 20:00,0x6d679_28-03-15 12:xx - 31-03-15 18:01,0.01802,,,,,,,,
2015-03-29 22:00,0x6d679_28-03-15 12:xx - 31-03-15 18:01,0.01569,,,,,,,,
2015-03-30 00:00,0x6d679_28-03-15 12:xx - 31-03-15 18:01,0.002342,0x53db5_28-03-15 10:xx - 03-04-15 8:07_parking,0.001808,,,,,,
2015-03-30 02:00,0x6d679_28-03-15 12:xx - 31-03-15 18:01,0.008983,0x53db5_28-03-15 10:xx - 03-04-15 8:07_parking,0.003506,,,,,,
2015-03-30 04:00,0x6d679_28-03-15 12:xx - 31-03-15 18:01,0.01558,0x53db5_28-03-15 10:xx - 03-04-15 8:07_parking,0.004299,,,,,,
2015-03-30 06:00,0x6d679_28-03-15 12:xx - 31-03-15 18:01,0.03457,,,,,,,,
2015-03-30 08:00,0x6d679_28-03-15 12:xx - 31-03-15 18:01,0.04177,,,,,,,,
2015-03-30 10:00,0x6d679_28-03-15 12:xx - 31-03-15 18:01,0.01854,0xe4728_30-03-15 11:xx - 08-04-15 23:56_parking,0.000,,,,,,
2015-03-30 12:00,0x6d679_28-03-15 12:xx - 31-03-15 18:01,0.01563,0x53db5_28-03-15 10:xx - 03-04-15 8:07_parking,0.01238,,,,,,
2015-03-30 14:00,0x6d679_28-03-15 12:xx - 31-03-15 18:01,0.03147,0xf85dc_30-03-15 15:xx - 14-04-15 0:24,0.000,,,,,,
2015-03-30 16:00,0xf85dc_30-03-15 15:xx - 14-04-15 0:24,17.75,0x6d679_28-03-15 12:xx - 31-03-15 18:01,0.03464,,,,,,
2015-03-30 18:00,0xf85dc_30-03-15 15:xx - 14-04-15 0:24,40.87,0x53db5_28-03-15 10:xx - 03-04-15 8:07_parking,0.01893,0x6d679_28-03-15 12:xx - 31-03-15 18:01,0.002121,,,,
2015-03-30 20:00,0xf85dc_30-03-15 15:xx - 14-04-15 0:24,51.38,0x6d679_28-03-15 12:xx - 31-03-15 18:01,0.04341,,,,,,
2015-03-30 22:00,0xf85dc_30-03-15 15:xx - 14-04-15 0:24,64.51,0x6d679_28-03-15 12:xx - 31-03-15 18:01,0.02121,,,,,,
2015-03-31 00:00,0xf85dc_30-03-15 15:xx - 14-04-15 0:24,82.89,0x6d679_28-03-15 12:xx - 31-03-15 18:01,0.01141,,,,,,
2015-03-31 02:00,0xf85dc_30-03-15 15:xx - 14-04-15 0:24,104.0,0x6d679_28-03-15 12:xx - 31-03-15 18:01,0.02587,0x53db5_28-03-15 10:xx - 03-04-15 8:07_parking,0.005033,,,,
2015-03-31 04:00,0xf85dc_30-03-15 15:xx - 14-04-15 0:24,118.2,0x6d679_28-03-15 12:xx - 31-03-15 18:01,0.06013,,,,,,
2015-03-31 06:00,0xf85dc_30-03-15 15:xx - 14-04-15 0:24,143.0,0xc35c9_23-03-15 0:xx - 06-04-15 8:01,0.9629,0x6d679_28-03-15 12:xx - 31-03-15 18:01,0.01002,,,,
2015-03-31 08:00,0xf85dc_30-03-15 15:xx - 14-04-15 0:24,166.0,0xc35c9_23-03-15 0:xx - 06-04-15 8:01,0.9663,0x6d679_28-03-15 12:xx - 31-03-15 18:01,0.001112,,,,
2015-03-31 10:00,0xf85dc_30-03-15 15:xx - 14-04-15 0:24,184.7,0x6d679_28-03-15 12:xx - 31-03-15 18:01,0.01324,,,,,,
2015-03-31 12:00,0xf85dc_30-03-15 15:xx - 14-04-15 0:24,203.5,0x6d679_28-03-15 12:xx - 31-03-15 18:01,0.003790,,,,,,
2015-03-31 14:00,0xf85dc_30-03-15 15:xx - 14-04-15 0:24,224.6,0x6d679_28-03-15 12:xx - 31-03-15 18:01,0.01930,,,,,,
2015-03-31 16:00,0xf85dc_30-03-15 15:xx - 14-04-15 0:24,246.8,0xc35c9_23-03-15 0:xx - 06-04-15 8:01,0.4576,0x6d679_28-03-15 12:xx - 31-03-15 18:01,0.1792,,,,
2015-03-31 18:00,0xf85dc_30-03-15 15:xx - 14-04-15 0:24,270.2,0xc35c9_23-03-15 0:xx - 06-04-15 8:01,0.4570,0x6d679_28-03-15 12:xx - 31-03-15 18:01,0.1545,0x6d679_31-03-15 18:xx - 01-04-15 5:35_parking,0.007504,,
2015-03-31 20:00,0xf85dc_30-03-15 15:xx - 14-04-15 0:24,294.0,0x6d679_31-03-15 18:xx - 01-04-15 5:35_parking,0.03917,,,,,,
