ts,id_cella,ship_t35,agv_t35,ship_t60-69,agv_t60-69,ship_t70-79,agv_t70-79,ship_to,agv_to
2015-04-05,D5,35,,60-69,,70-79,,others,0.14
2015-04-05,E5,35,,60-69,,70-79,,others,0.14
2015-04-05,D3,35,,60-69,,70-79,,others,0.29
2015-04-05,F11,35,,60-69,,70-79,0.14,others,
2015-04-05,F12,35,,60-69,,70-79,0.14,others,0.14
2015-04-05,F9,35,,60-69,,70-79,,others,0.29
2015-04-05,F10,35,,60-69,,70-79,0.14,others,
2015-04-05,F13,35,,60-69,,70-79,,others,0.14
2015-04-05,G10,35,,60-69,,70-79,0.14,others,
2015-04-05,F8,35,,60-69,,70-79,,others,0.14
2015-04-05,F7,35,,60-69,,70-79,,others,0.14
2015-04-05,G9,35,,60-69,,70-79,0.14,others,
2015-04-05,E7,35,,60-69,,70-79,,others,0.14
2015-04-05,G8,35,,60-69,,70-79,0.14,others,
2015-04-05,E6,35,,60-69,,70-79,,others,0.14
2015-04-05,A28,35,,60-69,,70-79,0.14,others,
2015-04-05,D18,35,,60-69,,70-79,,others,0.14
2015-04-05,G7,35,,60-69,,70-79,0.14,others,
2015-04-05,E17,35,,60-69,,70-79,,others,0.14
2015-04-05,D4,35,,60-69,,70-79,,others,0.14
2015-04-05,B20,35,,60-69,,70-79,,others,0.43
2015-04-05,E18,35,,60-69,,70-79,,others,0.14
2015-04-05,C20,35,,60-69,,70-79,,others,3.0
2015-04-05,C1,35,,60-69,,70-79,,others,0.29
2015-04-05,D19,35,,60-69,,70-79,,others,0.29
2015-04-12,C20,35,,60-69,,70-79,,others,4.7
2015-04-12,D20,35,,60-69,,70-79,,others,1.7
2015-04-12,F12,35,,60-69,,70-79,0.14,others,0.14
2015-04-12,F10,35,,60-69,,70-79,,others,0.29
2015-04-12,B18,35,,60-69,,70-79,,others,0.57
2015-04-12,E12,35,,60-69,,70-79,,others,0.14
2015-04-12,G31,35,,60-69,,70-79,0.14,others,
2015-04-12,G32,35,,60-69,,70-79,0.14,others,
2015-04-12,E13,35,,60-69,,70-79,,others,0.14
2015-04-12,I16,35,,60-69,,70-79,0.14,others,
2015-04-12,A18,35,,60-69,,70-79,,others,0.43
2015-04-12,F15,35,,60-69,,70-79,0.14,others,
2015-04-12,E22,35,,60-69,,70-79,0.14,others,
2015-04-12,E14,35,,60-69,,70-79,,others,0.29
2015-04-12,D5,35,,60-69,,70-79,,others,0.29
2015-04-12,G7,35,,60-69,,70-79,,others,0.14
2015-04-12,G30,35,,60-69,,70-79,0.14,others,
2015-04-12,D18,35,,60-69,,70-79,,others,0.29
2015-04-12,F30,35,,60-69,,70-79,0.14,others,
2015-04-12,F29,35,,60-69,,70-79,0.14,others,
2015-04-12,C22,35,,60-69,,70-79,,others,0.14
2015-04-12,E29,35,,60-69,,70-79,0.14,others,
2015-04-12,E28,35,,60-69,,70-79,0.29,others,
2015-04-12,A17,35,,60-69,,70-79,,others,0.14
2015-04-12,G11,35,,60-69,,70-79,,others,0.14
2015-04-12,D3,35,,60-69,,70-79,,others,0.14
2015-04-12,E27,35,,60-69,,70-79,0.14,others,
2015-04-12,G10,35,,60-69,,70-79,,others,0.14
2015-04-12,B17,35,,60-69,,70-79,,others,0.14
2015-04-12,D2,35,,60-69,,70-79,,others,0.14
2015-04-12,G9,35,,60-69,,70-79,,others,0.14
2015-04-12,G33,35,,60-69,,70-79,0.43,others,0.57
2015-04-12,E26,35,,60-69,,70-79,0.14,others,
2015-04-12,C17,35,,60-69,,70-79,,others,0.14
2015-04-12,C1,35,,60-69,,70-79,,others,0.71
2015-04-12,E25,35,,60-69,,70-79,0.14,others,
2015-04-12,D17,35,,60-69,,70-79,,others,0.29
2015-04-12,C37,35,,60-69,,70-79,0.57,others,
2015-04-12,E24,35,,60-69,,70-79,0.14,others,
2015-04-12,E16,35,,60-69,,70-79,,others,0.29
2015-04-12,B37,35,,60-69,,70-79,0.14,others,
2015-04-12,F7,35,,60-69,,70-79,,others,0.29
2015-04-12,E23,35,,60-69,,70-79,0.14,others,
2015-04-12,E15,35,,60-69,,70-79,,others,0.29
2015-04-12,D19,35,,60-69,,70-79,,others,0.57
2015-04-12,D4,35,,60-69,,70-79,,others,0.29
2015-04-12,F14,35,,60-69,,70-79,0.14,others,
2015-04-12,E11,35,,60-69,,70-79,,others,0.14
2015-04-12,E21,35,,60-69,,70-79,0.14,others,
2015-04-12,E20,35,,60-69,,70-79,0.14,others,0.29
2015-04-12,F11,35,,60-69,,70-79,,others,0.29
2015-04-12,E19,35,,60-69,,70-79,0.14,others,
2015-04-12,E18,35,,60-69,,70-79,0.14,others,0.14
2015-04-12,E17,35,,60-69,,70-79,0.14,others,0.29
2015-04-12,C18,35,,60-69,,70-79,,others,0.29
2015-04-12,G8,35,,60-69,,70-79,,others,0.43
2015-04-12,H8,35,,60-69,,70-79,,others,0.57
2015-04-12,C19,35,,60-69,,70-79,,others,1.0
2015-04-12,F16,35,,60-69,,70-79,0.14,others,
2015-04-12,B19,35,,60-69,,70-79,,others,0.43
2015-04-12,F9,35,,60-69,,70-79,,others,2.0
2015-04-12,D1,35,,60-69,,70-79,0.14,others,4.0
2015-04-12,E6,35,,60-69,,70-79,,others,0.29
2015-04-12,E7,35,,60-69,,70-79,,others,0.14
2015-04-12,A28,35,,60-69,,70-79,0.29,others,
2015-04-12,F8,35,,60-69,,70-79,,others,1.4
2015-04-12,F13,35,,60-69,,70-79,0.14,others,0.14
2015-04-19,C37,35,,60-69,,70-79,0.71,others,
2015-04-19,D2,35,,60-69,,70-79,1.0,others,0.71
2015-04-19,B18,35,,60-69,,70-79,,others,0.71
2015-04-19,E20,35,,60-69,,70-79,,others,0.57
2015-04-19,D17,35,,60-69,,70-79,0.29,others,0.29
2015-04-19,D12,35,,60-69,,70-79,0.14,others,
2015-04-19,D32,35,,60-69,,70-79,0.14,others,
2015-04-19,G10,35,,60-69,,70-79,,others,0.29
2015-04-19,F13,35,,60-69,,70-79,,others,0.29
2015-04-19,C32,35,,60-69,,70-79,0.14,others,
2015-04-19,B17,35,,60-69,,70-79,,others,0.14
2015-04-19,D4,35,,60-69,,70-79,0.86,others,0.14
2015-04-19,F11,35,,60-69,,70-79,0.14,others,
2015-04-19,G11,35,,60-69,,70-79,,others,0.14
2015-04-19,G7,35,,60-69,,70-79,0.14,others,
2015-04-19,F14,35,,60-69,,70-79,,others,0.43
2015-04-19,H10,35,,60-69,,70-79,0.14,others,0.14
2015-04-19,C17,35,,60-69,,70-79,,others,0.14
2015-04-19,G33,35,,60-69,,70-79,2.7,others,0.57
2015-04-19,H8,35,,60-69,,70-79,0.14,others,0.71
2015-04-19,G12,35,,60-69,,70-79,0.14,others,
2015-04-19,E12,35,,60-69,,70-79,,others,0.14
2015-04-19,H11,35,,60-69,,70-79,0.14,others,0.14
2015-04-19,F15,35,,60-69,,70-79,,others,0.29
2015-04-19,D31,35,,60-69,,70-79,0.14,others,
2015-04-19,H12,35,,60-69,,70-79,,others,0.14
2015-04-19,E17,35,,60-69,,70-79,0.29,others,0.43
2015-04-19,G13,35,,60-69,,70-79,0.14,others,
2015-04-19,I12,35,,60-69,,70-79,0.14,others,0.14
2015-04-19,H9,35,,60-69,,70-79,0.29,others,
2015-04-19,H13,35,,60-69,,70-79,0.14,others,
2015-04-19,D30,35,,60-69,,70-79,0.14,others,
2015-04-19,I13,35,,60-69,,70-79,0.14,others,0.14
2015-04-19,D1,35,,60-69,,70-79,1.0,others,3.6
2015-04-19,G31,35,,60-69,,70-79,,others,0.14
2015-04-19,A30,35,,60-69,,70-79,,others,0.14
2015-04-19,D28,35,,60-69,,70-79,0.14,others,
2015-04-19,D38,35,,60-69,,70-79,0.14,others,
2015-04-19,E21,35,,60-69,,70-79,,others,0.14
2015-04-19,D22,35,,60-69,,70-79,0.14,others,
2015-04-19,G32,35,,60-69,,70-79,,others,0.14
2015-04-19,I15,35,,60-69,,70-79,,others,0.14
2015-04-19,A31,35,,60-69,,70-79,,others,0.14
2015-04-19,A33,35,,60-69,,70-79,,others,0.14
2015-04-19,A32,35,,60-69,,70-79,,others,0.29
2015-04-19,I11,35,,60-69,,70-79,0.14,others,
2015-04-19,J15,35,,60-69,,70-79,,others,0.14
2015-04-19,D29,35,,60-69,,70-79,0.14,others,
2015-04-19,A34,35,,60-69,,70-79,,others,0.14
2015-04-19,A18,35,,60-69,,70-79,,others,0.43
2015-04-19,C20,35,,60-69,,70-79,,others,9.6
2015-04-19,H14,35,,60-69,,70-79,0.14,others,
2015-04-19,J14,35,,60-69,,70-79,,others,0.43
2015-04-19,D21,35,,60-69,,70-79,0.29,others,0.14
2015-04-19,D40,35,,60-69,,70-79,0.29,others,
2015-04-19,E16,35,,60-69,,70-79,0.29,others,0.43
2015-04-19,D39,35,,60-69,,70-79,0.29,others,
2015-04-19,H15,35,,60-69,,70-79,0.14,others,
2015-04-19,B19,35,,60-69,,70-79,,others,0.71
2015-04-19,D5,35,,60-69,,70-79,0.57,others,0.29
2015-04-19,E18,35,,60-69,,70-79,,others,0.29
2015-04-19,D8,35,,60-69,,70-79,0.14,others,0.14
2015-04-19,E15,35,,60-69,,70-79,0.29,others,0.14
2015-04-19,H16,35,,60-69,,70-79,0.14,others,
2015-04-19,D9,35,,60-69,,70-79,0.29,others,
2015-04-19,D20,35,,60-69,,70-79,0.43,others,3.6
2015-04-19,I16,35,,60-69,,70-79,0.71,others,
2015-04-19,E11,35,,60-69,,70-79,,others,0.14
2015-04-19,F6,35,,60-69,,70-79,0.14,others,
2015-04-19,E10,35,,60-69,,70-79,0.14,others,0.14
2015-04-19,G9,35,,60-69,,70-79,0.14,others,0.29
2015-04-19,D33,35,,60-69,,70-79,0.14,others,
2015-04-19,D34,35,,60-69,,70-79,0.14,others,
2015-04-19,G8,35,,60-69,,70-79,0.14,others,0.43
2015-04-19,E8,35,,60-69,,70-79,,others,0.14
2015-04-19,F7,35,,60-69,,70-79,0.14,others,0.14
2015-04-19,E14,35,,60-69,,70-79,0.14,others,0.29
2015-04-19,D7,35,,60-69,,70-79,0.29,others,0.14
2015-04-19,E5,35,,60-69,,70-79,,others,0.14
2015-04-19,E13,35,,60-69,,70-79,0.14,others,0.14
2015-04-19,D36,35,,60-69,,70-79,0.14,others,
2015-04-19,D19,35,,60-69,,70-79,0.29,others,2.1
2015-04-19,D6,35,,60-69,,70-79,0.43,others,0.14
2015-04-19,D37,35,,60-69,,70-79,0.14,others,
2015-04-19,A28,35,,60-69,,70-79,0.14,others,
2015-04-19,E6,35,,60-69,,70-79,0.14,others,0.14
2015-04-19,D3,35,,60-69,,70-79,0.86,others,0.29
2015-04-19,C1,35,,60-69,,70-79,0.14,others,1.3
2015-04-19,E7,35,,60-69,,70-79,0.29,others,
2015-04-19,F9,35,,60-69,,70-79,0.14,others,2.4
2015-04-19,D18,35,,60-69,,70-79,0.29,others,0.43
2015-04-19,B20,35,,60-69,,70-79,,others,0.14
2015-04-19,F8,35,,60-69,,70-79,0.14,others,0.86
2015-04-19,C19,35,,60-69,,70-79,,others,1.3
2015-04-19,F10,35,,60-69,,70-79,0.14,others,0.14
2015-04-19,F12,35,,60-69,,70-79,,others,0.14
2015-04-26,C37,35,,60-69,0.14,70-79,1.0,others,
2015-04-26,F8,35,,60-69,3.7,70-79,1.3,others,2.3
2015-04-26,D28,35,,60-69,,70-79,1.9,others,0.29
2015-04-26,D19,35,,60-69,0.43,70-79,3.3,others,1.4
2015-04-26,D23,35,,60-69,,70-79,1.4,others,0.14
2015-04-26,A31,35,,60-69,,70-79,0.86,others,0.14
2015-04-26,H12,35,,60-69,,70-79,0.57,others,1.0
2015-04-26,D30,35,,60-69,,70-79,0.86,others,
2015-04-26,B24,35,,60-69,,70-79,0.14,others,
2015-04-26,E15,35,,60-69,0.43,70-79,1.6,others,0.43
2015-04-26,C32,35,,60-69,0.14,70-79,1.4,others,0.29
2015-04-26,A34,35,,60-69,,70-79,0.86,others,0.29
2015-04-26,F13,35,,60-69,0.14,70-79,0.86,others,0.29
2015-04-26,G9,35,,60-69,1.1,70-79,0.71,others,0.71
2015-04-26,I12,35,,60-69,0.86,70-79,1.7,others,1.1
2015-04-26,E5,35,,60-69,0.43,70-79,1.1,others,2.4
2015-04-26,F15,35,,60-69,,70-79,0.86,others,0.29
2015-04-26,E6,35,,60-69,0.57,70-79,1.0,others,1.6
2015-04-26,A33,35,,60-69,,70-79,1.0,others,0.29
2015-04-26,C20,35,,60-69,0.29,70-79,2.4,others,15
2015-04-26,E17,35,,60-69,0.43,70-79,2.6,others,0.86
2015-04-26,B27,35,,60-69,,70-79,0.57,others,0.14
2015-04-26,J13,35,,60-69,0.57,70-79,0.29,others,0.86
2015-04-26,I14,35,,60-69,,70-79,1.0,others,0.71
2015-04-26,J15,35,,60-69,,70-79,4.4,others,0.29
2015-04-26,D29,35,,60-69,,70-79,0.43,others,
2015-04-26,D11,35,,60-69,,70-79,0.86,others,
2015-04-26,D37,35,,60-69,,70-79,0.71,others,
2015-04-26,B26,35,,60-69,,70-79,0.57,others,0.14
2015-04-26,E7,35,,60-69,0.43,70-79,,others,1.0
2015-04-26,B33,35,,60-69,,70-79,1.0,others,0.14
2015-04-26,F23,35,,60-69,,70-79,0.14,others,
2015-04-26,B34,35,,60-69,,70-79,0.29,others,0.14
2015-04-26,F17,35,,60-69,,70-79,0.57,others,0.14
2015-04-26,D2,35,,60-69,0.14,70-79,1.0,others,2.3
2015-04-26,C19,35,,60-69,,70-79,0.57,others,1.1
2015-04-26,E11,35,,60-69,0.14,70-79,0.71,others,0.43
2015-04-26,H11,35,,60-69,0.43,70-79,0.57,others,0.86
2015-04-26,E19,35,,60-69,,70-79,0.14,others,
2015-04-26,F16,35,,60-69,,70-79,0.71,others,0.29
2015-04-26,G34,35,,60-69,,70-79,1.3,others,1.1
2015-04-26,E10,35,,60-69,0.14,70-79,0.29,others,0.14
2015-04-26,H17,35,,60-69,,70-79,0.71,others,0.43
2015-04-26,D8,35,,60-69,,70-79,0.43,others,0.14
2015-04-26,G10,35,,60-69,1.4,70-79,0.43,others,0.29
2015-04-26,C30,35,,60-69,0.14,70-79,0.57,others,0.29
2015-04-26,E23,35,,60-69,,70-79,0.57,others,
2015-04-26,F31,35,,60-69,,70-79,1.3,others,0.43
2015-04-26,E9,35,,60-69,0.14,70-79,0.14,others,0.14
2015-04-26,C28,35,,60-69,0.14,70-79,0.57,others,0.29
2015-04-26,I13,35,,60-69,1.0,70-79,1.7,others,1.0
2015-04-26,A29,35,,60-69,,70-79,0.14,others,0.14
2015-04-26,C26,35,,60-69,,70-79,0.71,others,0.29
2015-04-26,F12,35,,60-69,0.29,70-79,0.57,others,
2015-04-26,C31,35,,60-69,0.14,70-79,0.57,others,
2015-04-26,B19,35,,60-69,,70-79,,others,0.43
2015-04-26,E8,35,,60-69,0.14,70-79,,others,0.43
2015-04-26,C29,35,,60-69,0.14,70-79,0.57,others,0.29
2015-04-26,H10,35,,60-69,1.1,70-79,1.4,others,0.86
2015-04-26,G11,35,,60-69,0.14,70-79,0.29,others,0.29
2015-04-26,H18,35,,60-69,,70-79,0.14,others,0.29
2015-04-26,B36,35,,60-69,0.14,70-79,0.86,others,0.14
2015-04-26,D34,35,,60-69,,70-79,0.14,others,
2015-04-26,H13,35,,60-69,,70-79,0.29,others,0.29
2015-04-26,B32,35,,60-69,,70-79,0.86,others,0.14
2015-04-26,D5,35,,60-69,0.14,70-79,1.0,others,0.86
2015-04-26,H8,35,,60-69,4.6,70-79,4.3,others,2.4
2015-04-26,D21,35,,60-69,,70-79,1.6,others,0.86
2015-04-26,D35,35,,60-69,,70-79,0.14,others,
2015-04-26,B17,35,,60-69,,70-79,,others,0.14
2015-04-26,H19,35,,60-69,,70-79,0.29,others,
2015-04-26,A36,35,0.14,60-69,,70-79,0.43,others,
2015-04-26,F27,35,,60-69,,70-79,0.29,others,
2015-04-26,G12,35,,60-69,,70-79,,others,0.14
2015-04-26,F19,35,,60-69,,70-79,0.43,others,
2015-04-26,A37,35,,60-69,0.14,70-79,0.71,others,
2015-04-26,F28,35,,60-69,,70-79,0.14,others,
2015-04-26,F18,35,,60-69,,70-79,0.14,others,
2015-04-26,C39,35,,60-69,0.14,70-79,0.57,others,
2015-04-26,C38,35,,60-69,0.14,70-79,0.43,others,
2015-04-26,D13,35,,60-69,,70-79,,others,0.14
2015-04-26,B39,35,,60-69,0.14,70-79,0.29,others,
2015-04-26,B35,35,,60-69,,70-79,0.29,others,0.14
2015-04-26,I9,35,,60-69,,70-79,,others,0.14
2015-04-26,B38,35,,60-69,0.14,70-79,0.71,others,
2015-04-26,G6,35,,60-69,0.29,70-79,0.43,others,
2015-04-26,D12,35,,60-69,,70-79,0.43,others,
2015-04-26,F30,35,,60-69,,70-79,1.9,others,0.86
2015-04-26,A39,35,,60-69,,70-79,1.0,others,0.14
2015-04-26,A38,35,,60-69,,70-79,1.0,others,0.14
2015-04-26,G23,35,,60-69,,70-79,0.14,others,
2015-04-26,H14,35,,60-69,,70-79,0.14,others,0.29
2015-04-26,E12,35,,60-69,0.29,70-79,0.86,others,0.29
2015-04-26,D33,35,,60-69,,70-79,0.14,others,0.14
2015-04-26,C27,35,,60-69,0.14,70-79,0.71,others,0.29
2015-04-26,D1,35,,60-69,0.14,70-79,1.0,others,4.6
2015-04-26,C18,35,,60-69,,70-79,0.14,others,0.29
2015-04-26,B25,35,,60-69,,70-79,0.29,others,0.14
2015-04-26,C25,35,,60-69,,70-79,0.57,others,0.14
2015-04-26,D6,35,,60-69,0.14,70-79,0.29,others,0.43
2015-04-26,G24,35,,60-69,,70-79,0.14,others,
2015-04-26,C24,35,,60-69,,70-79,0.57,others,0.29
2015-04-26,A30,35,,60-69,,70-79,0.43,others,0.14
2015-04-26,D38,35,,60-69,,70-79,0.71,others,
2015-04-26,B30,35,,60-69,,70-79,0.57,others,0.43
2015-04-26,D18,35,,60-69,0.43,70-79,2.6,others,0.86
2015-04-26,D40,35,,60-69,,70-79,1.3,others,
2015-04-26,D24,35,,60-69,,70-79,1.6,others,0.14
2015-04-26,D39,35,,60-69,,70-79,1.3,others,
2015-04-26,E28,35,0.14,60-69,,70-79,1.3,others,0.29
2015-04-26,J14,35,,60-69,0.29,70-79,5.7,others,3.1
2015-04-26,I10,35,,60-69,0.71,70-79,0.57,others,0.29
2015-04-26,C1,35,,60-69,,70-79,0.14,others,0.86
2015-04-26,E20,35,,60-69,,70-79,1.0,others,1.0
2015-04-26,E16,35,,60-69,0.43,70-79,2.1,others,0.57
2015-04-26,D32,35,,60-69,,70-79,1.1,others,0.43
2015-04-26,B37,35,,60-69,0.14,70-79,1.0,others,0.14
2015-04-26,F9,35,,60-69,3.9,70-79,1.1,others,2.7
2015-04-26,H9,35,,60-69,1.1,70-79,1.3,others,1.0
2015-04-26,E21,35,,60-69,,70-79,1.6,others,0.71
2015-04-26,H15,35,,60-69,,70-79,1.6,others,0.43
2015-04-26,D4,35,,60-69,0.14,70-79,0.86,others,1.4
2015-04-26,A35,35,,60-69,,70-79,1.0,others,0.29
2015-04-26,C33,35,,60-69,0.14,70-79,0.71,others,0.29
2015-04-26,E18,35,,60-69,0.14,70-79,0.71,others,0.29
2015-04-26,F10,35,,60-69,0.71,70-79,0.86,others,0.29
2015-04-26,C34,35,,60-69,0.14,70-79,0.29,others,
2015-04-26,D3,35,,60-69,0.14,70-79,1.0,others,1.4
2015-04-26,E30,35,,60-69,,70-79,1.7,others,0.57
2015-04-26,F21,35,,60-69,,70-79,0.29,others,0.43
2015-04-26,F7,35,,60-69,1.9,70-79,2.4,others,1.4
2015-04-26,F20,35,,60-69,,70-79,1.1,others,0.57
2015-04-26,C35,35,,60-69,0.14,70-79,0.43,others,
2015-04-26,F6,35,,60-69,2.0,70-79,2.6,others,1.4
2015-04-26,F11,35,,60-69,0.29,70-79,0.57,others,0.29
2015-04-26,F29,35,,60-69,,70-79,0.57,others,0.14
2015-04-26,C36,35,,60-69,0.14,70-79,0.43,others,
2015-04-26,E31,35,,60-69,,70-79,0.86,others,0.43
2015-04-26,C21,35,,60-69,0.14,70-79,0.57,others,0.14
2015-04-26,G30,35,,60-69,,70-79,0.71,others,0.29
2015-04-26,G19,35,,60-69,,70-79,0.86,others,0.29
2015-04-26,D31,35,,60-69,,70-79,1.1,others,0.43
2015-04-26,A28,35,,60-69,,70-79,0.29,others,
2015-04-26,G16,35,,60-69,,70-79,0.71,others,0.14
2015-04-26,G32,35,,60-69,,70-79,1.0,others,
2015-04-26,C22,35,,60-69,,70-79,0.43,others,0.29
2015-04-26,D25,35,,60-69,,70-79,1.1,others,0.29
2015-04-26,G18,35,,60-69,,70-79,1.0,others,0.43
2015-04-26,H16,35,,60-69,,70-79,1.6,others,0.57
2015-04-26,C23,35,,60-69,,70-79,0.71,others,0.14
2015-04-26,D9,35,,60-69,,70-79,0.14,others,0.14
2015-04-26,H24,35,,60-69,,70-79,0.14,others,
2015-04-26,G17,35,,60-69,,70-79,0.71,others,
2015-04-26,I11,35,,60-69,2.1,70-79,2.1,others,1.4
2015-04-26,E29,35,,60-69,,70-79,0.86,others,0.29
2015-04-26,B31,35,,60-69,,70-79,0.57,others,0.43
2015-04-26,E13,35,,60-69,0.29,70-79,1.0,others,0.43
2015-04-26,D36,35,,60-69,,70-79,0.43,others,
2015-04-26,E14,35,,60-69,0.43,70-79,1.4,others,1.0
2015-04-26,G33,35,,60-69,,70-79,6.4,others,0.57
2015-04-26,G15,35,,60-69,,70-79,0.14,others,0.14
2015-04-26,D27,35,,60-69,,70-79,1.4,others,0.29
2015-04-26,G31,35,,60-69,,70-79,1.0,others,0.14
2015-04-26,G7,35,,60-69,0.29,70-79,2.6,others,1.4
2015-04-26,E22,35,,60-69,,70-79,1.1,others,
2015-04-26,D17,35,,60-69,0.29,70-79,1.9,others,0.71
2015-04-26,F14,35,,60-69,0.14,70-79,0.86,others,0.29
2015-04-26,A32,35,,60-69,,70-79,0.71,others,0.14
2015-04-26,D26,35,,60-69,,70-79,1.4,others,0.29
2015-04-26,B29,35,,60-69,,70-79,0.86,others,0.14
2015-04-26,I16,35,,60-69,0.14,70-79,3.0,others,1.1
2015-04-26,G8,35,,60-69,3.1,70-79,2.9,others,1.7
2015-04-26,D10,35,,60-69,,70-79,0.14,others,0.14
2015-04-26,D22,35,,60-69,,70-79,1.3,others,0.14
2015-04-26,D7,35,,60-69,,70-79,0.43,others,0.29
2015-04-26,D20,35,,60-69,0.57,70-79,2.3,others,4.6
2015-04-26,F22,35,,60-69,,70-79,0.14,others,
2015-04-26,I15,35,,60-69,0.14,70-79,3.0,others,1.1
2015-04-26,B28,35,,60-69,,70-79,0.86,others,0.14
2015-04-26,B18,35,,60-69,,70-79,,others,0.29
2015-05-03,H8,35,,60-69,6.3,70-79,14,others,2.4
2015-05-03,J13,35,,60-69,2.0,70-79,0.29,others,3.1
2015-05-03,E6,35,,60-69,0.29,70-79,1.4,others,4.3
2015-05-03,C22,35,,60-69,0.14,70-79,1.6,others,0.14
2015-05-03,G8,35,,60-69,4.6,70-79,6.9,others,3.3
2015-05-03,F11,35,,60-69,0.71,70-79,1.7,others,0.86
2015-05-03,C25,35,,60-69,0.14,70-79,1.3,others,0.57
2015-05-03,B32,35,,60-69,,70-79,0.57,others,
2015-05-03,D13,35,,60-69,,70-79,,others,0.14
2015-05-03,E14,35,,60-69,0.57,70-79,2.1,others,1.4
2015-05-03,D12,35,,60-69,,70-79,0.14,others,0.14
2015-05-03,E21,35,,60-69,,70-79,2.7,others,0.57
2015-05-03,G34,35,,60-69,,70-79,2.0,others,1.7
2015-05-03,D28,35,,60-69,0.14,70-79,4.4,others,
2015-05-03,F20,35,,60-69,,70-79,2.0,others,0.29
2015-05-03,A32,35,,60-69,,70-79,1.0,others,0.29
2015-05-03,D26,35,,60-69,,70-79,2.9,others,
2015-05-03,B26,35,,60-69,,70-79,0.86,others,0.14
2015-05-03,B39,35,,60-69,,70-79,0.43,others,
2015-05-03,E7,35,,60-69,0.29,70-79,,others,1.7
2015-05-03,I12,35,,60-69,1.7,70-79,5.9,others,1.1
2015-05-03,C38,35,,60-69,,70-79,1.4,others,0.14
2015-05-03,A29,35,,60-69,,70-79,0.14,others,0.14
2015-05-03,A33,35,,60-69,,70-79,1.3,others,0.29
2015-05-03,G31,35,,60-69,,70-79,2.4,others,0.29
2015-05-03,C19,35,,60-69,,70-79,0.29,others,0.71
2015-05-03,D11,35,,60-69,,70-79,0.71,others,
2015-05-03,E29,35,,60-69,,70-79,1.6,others,0.14
2015-05-03,D2,35,,60-69,0.14,70-79,1.1,others,5.6
2015-05-03,B17,35,,60-69,,70-79,,others,0.14
2015-05-03,C34,35,,60-69,,70-79,0.71,others,0.14
2015-05-03,J15,35,,60-69,,70-79,3.3,others,0.86
2015-05-03,G17,35,,60-69,,70-79,2.1,others,0.14
2015-05-03,H13,35,,60-69,0.14,70-79,1.1,others,
2015-05-03,B29,35,,60-69,,70-79,1.0,others,0.29
2015-05-03,F9,35,,60-69,11,70-79,3.3,others,6.0
2015-05-03,I15,35,,60-69,0.57,70-79,6.7,others,2.0
2015-05-03,I14,35,,60-69,1.3,70-79,4.3,others,0.71
2015-05-03,E20,35,,60-69,,70-79,2.0,others,1.6
2015-05-03,F29,35,,60-69,,70-79,0.71,others,0.14
2015-05-03,D5,35,,60-69,0.14,70-79,1.3,others,4.0
2015-05-03,A28,35,,60-69,,70-79,0.14,others,0.14
2015-05-03,E10,35,,60-69,,70-79,,others,0.43
